apply,pared,public,gpa
1,0,0,3.50999999
1,0,0,3.099999905
1,0,0,3.549999952
1,0,0,2.980000019
3,0,0,2.99000001
1,0,0,3.049999952
1,0,0,2.99000001
1,0,0,2.319999933
1,0,0,2.5
1,0,1,2.900000095
3,1,1,3.279999971
2,0,0,2.950000048
2,0,0,3.539999962
2,0,0,3.109999895
1,1,0,3.25
1,0,0,2.440000057
1,0,0,2.130000114
2,0,0,3.220000029
2,0,0,3.160000086
1,0,0,3.390000105
2,0,0,2.700000048
2,0,0,3.089999914
2,0,0,3.160000086
1,0,0,2.279999971
1,0,0,2.910000086
1,0,0,3.650000095
1,0,0,2.859999895
1,0,1,3.390000105
1,0,0,3.710000038
1,0,0,3.25
1,0,0,3.140000105
1,0,0,2.410000086
2,0,0,3.079999924
1,0,1,3.019999981
2,0,0,3.150000095
3,0,0,2.950000048
1,0,0,2.220000029
2,0,0,2.859999895
2,1,0,2.880000114
3,0,0,2.619999886
1,0,0,3.369999886
2,0,0,3.50999999
2,0,0,3.650000095
3,1,0,3.420000076
3,0,0,2.410000086
3,0,1,3.210000038
1,0,0,3.220000029
1,0,0,2.529999971
2,0,0,2.640000105
1,0,0,2.940000057
2,0,0,2.559999943
1,0,1,3.119999886
2,0,0,3.339999914
1,0,0,3.220000029
2,0,0,3.049999952
2,0,0,3.289999962
2,0,0,2.710000038
1,0,0,2.869999886
1,0,0,3.289999962
1,0,0,3.359999895
1,1,1,2.849999905
1,0,0,2.789999962
2,0,0,3.690000057
3,0,0,3.559999943
1,0,0,3.519999981
1,1,1,3.380000114
3,0,1,3.109999895
2,1,0,3.200000048
1,0,0,2.829999924
1,0,0,3.079999924
3,0,1,2.970000029
1,0,0,2.640000105
1,0,0,2.470000029
3,0,0,3.069999933
2,0,0,3.200000048
1,0,0,2.549999952
1,0,0,2.480000019
1,0,0,3.289999962
2,0,0,2.640000105
2,0,0,3.220000029
2,1,0,2.799999952
2,0,0,3.619999886
1,0,0,2.619999886
2,0,1,3.039999962
1,0,1,2.49000001
1,0,1,3.099999905
3,1,0,3.150000095
2,0,0,2.650000095
1,0,0,3.039999962
1,0,1,3.049999952
1,0,0,2.880000114
2,0,0,2.859999895
2,0,0,3
1,0,0,2.230000019
1,0,1,3.140000105
1,0,0,2.670000076
1,0,0,3.109999895
2,0,0,3.730000019
2,0,0,2.450000048
1,0,0,3.039999962
1,0,0,2.400000095
2,0,0,3.430000067
2,0,0,2.569999933
1,0,0,2.839999914
1,0,0,2.670000076
3,1,1,3.450000048
2,1,0,2.880000114
2,0,0,2.779999971
1,0,0,3.220000029
1,1,0,3.299999952
2,1,0,2.859999895
2,0,0,2.829999924
2,0,0,3.700000048
2,0,0,3.150000095
2,1,1,3.079999924
1,0,0,2.920000076
1,0,0,2.890000105
3,1,0,3.529999971
1,0,0,3.099999905
2,1,0,3.359999895
2,0,0,2.74000001
2,0,0,2.730000019
1,1,0,2.720000029
1,0,0,3.529999971
1,1,0,3.450000048
1,0,0,2.980000019
2,0,0,2.880000114
3,1,0,3.210000038
1,0,0,3.059999943
1,0,0,2.400000095
2,0,0,3.569999933
1,1,0,2.880000114
1,0,0,3.269999981
1,0,0,2.920000076
3,0,0,2.700000048
2,1,0,2.529999971
2,0,0,3.380000114
1,0,0,3.160000086
2,0,0,2.599999905
1,0,0,2.75999999
1,0,0,3.559999943
1,0,0,2.869999886
2,1,0,2.99000001
1,0,0,2.680000067
1,0,0,2.99000001
2,0,0,2.960000038
1,1,1,2.769999981
2,0,0,3.279999971
1,0,1,2.74000001
1,0,0,1.899999976
1,0,0,3.049999952
2,0,1,2.440000057
2,0,0,3.329999924
2,0,1,3.559999943
1,0,0,2.150000095
1,0,0,2.829999924
2,0,0,2.789999962
2,0,0,2.720000029
3,1,0,3.039999962
1,0,1,3.029999971
1,0,0,2.880000114
2,0,0,3.210000038
1,0,0,2.74000001
1,0,0,3.569999933
2,0,0,2.430000067
1,0,0,3.109999895
1,0,0,2.75999999
2,0,0,3.130000114
1,0,0,2.75
1,0,0,2.599999905
1,0,0,3.670000076
1,0,0,3.25999999
1,0,0,3.410000086
3,0,0,3.24000001
1,0,0,3.049999952
2,1,0,2.380000114
2,0,0,2.609999895
2,1,1,3.180000067
1,0,0,3.339999914
2,0,0,2.839999914
1,0,0,2.799999952
1,0,0,3.210000038
1,0,0,2.630000114
1,0,0,2.309999943
1,0,0,2.289999962
1,0,0,3.50999999
2,0,0,2.869999886
1,0,0,3.089999914
2,1,0,2.880000114
1,1,0,2.470000029
2,0,1,3.720000029
1,0,0,3.200000048
2,0,0,2.569999933
1,0,0,3.049999952
1,0,0,3.269999981
1,0,0,3.299999952
1,0,0,2.730000019
1,1,0,2.630000114
1,0,0,2.769999981
1,0,0,3.150000095
1,0,0,2.849999905
1,0,0,2.25
2,0,0,3.559999943
1,0,0,2.700000048
3,0,0,2.940000057
2,1,0,2.579999924
2,0,0,2.970000029
3,0,0,3.380000114
3,0,0,2.960000038
1,0,0,2.440000057
2,0,1,3.75
2,0,0,3.069999933
2,0,0,2.720000029
1,0,0,3.130000114
1,0,0,3.390000105
1,0,1,2.380000114
2,0,0,2.869999886
1,0,1,2.910000086
3,1,0,3.25
2,1,1,3.50999999
1,1,0,3.650000095
2,0,0,3.109999895
3,0,0,2.710000038
1,0,0,3.049999952
1,0,0,2.930000067
2,0,0,2.349999905
2,0,0,2.49000001
1,0,0,3.25999999
1,0,0,3.769999981
1,0,1,3.49000001
1,0,0,3.390000105
1,0,0,3.369999886
1,0,0,1.980000019
1,1,0,2.930000067
1,0,0,3.359999895
1,0,0,3.119999886
2,0,0,3.230000019
2,0,1,3.900000095
1,0,0,2.700000048
1,0,0,2.339999914
1,0,0,3.299999952
2,0,0,3.109999895
1,0,0,3.140000105
2,1,0,3.680000067
2,0,0,2.220000029
1,0,0,2.609999895
2,0,1,3.480000019
3,0,0,3.079999924
1,0,0,2.789999962
1,0,0,3.119999886
1,0,1,2.670000076
2,0,0,3.539999962
3,0,0,2.980000019
2,1,0,3.319999933
2,1,0,3.539999962
1,0,0,3.700000048
1,0,0,2.630000114
2,0,0,2.25
2,0,0,3.25999999
3,0,0,3.519999981
